date,replicate,shelter_trend,State,state_name
2020-10-18,1,0.23444727977752094,11001,Bogota
2020-10-19,1,0.23071885404651427,11001,Bogota
2020-10-20,1,0.22718783596461067,11001,Bogota
2020-10-21,1,0.22385344976344534,11001,Bogota
2020-10-22,1,0.2207137324310166,11001,Bogota
2020-10-23,1,0.21776553544209198,11001,Bogota
2020-10-24,1,0.2150045347225576,11001,Bogota
2020-10-25,1,0.21242524883336744,11001,Bogota
2020-10-26,1,0.21002106529938602,11001,Bogota
2020-10-27,1,0.20778427494711849,11001,Bogota
2020-10-28,1,0.20570611405505201,11001,Bogota
2020-10-29,1,0.2037768140621593,11001,Bogota
2020-10-30,1,0.20198565852185835,11001,Bogota
2020-10-31,1,0.20032104693404695,11001,Bogota
2020-11-01,1,0.19877056503505408,11001,Bogota
2020-11-02,1,0.1973210610750621,11001,Bogota
2020-11-03,1,0.19595872756618848,11001,Bogota
2020-11-04,1,0.19466918794105614,11001,Bogota
2020-11-05,1,0.19343758752207996,11001,Bogota
2020-11-06,1,0.19224868816733276,11001,Bogota
2020-11-07,1,0.1910869659272858,11001,Bogota
2020-11-08,1,0.18993671102078558,11001,Bogota
2020-11-09,1,0.1887821294181401,11001,Bogota
2020-11-10,1,0.1876074453012757,11001,Bogota
2020-11-11,1,0.18639700366175516,11001,Bogota
2020-11-12,1,0.18513537228955412,11001,Bogota
2020-11-13,1,0.183807442405721,11001,Bogota
2020-11-14,1,0.182398527196316,11001,Bogota
2020-11-15,1,0.18089445751423094,11001,Bogota
2020-11-16,1,0.17928167403040607,11001,Bogota
2020-11-17,1,0.1775473151356134,11001,Bogota
2020-11-18,1,0.17567929991814768,11001,Bogota
2020-11-19,1,0.17366640557187174,11001,Bogota
2020-11-20,1,0.17149833862316177,11001,Bogota
2020-11-21,1,0.169165799401354,11001,Bogota
2020-11-22,1,0.16666053922080903,11001,Bogota
2020-11-23,1,0.1639754097851287,11001,Bogota
2020-11-24,1,0.16110440437478102,11001,Bogota
2020-11-25,1,0.15804269042766406,11001,Bogota
2020-11-26,1,0.15478663317728303,11001,Bogota
2020-11-27,1,0.15133381006719826,11001,Bogota
2020-11-28,1,0.14768301571724962,11001,Bogota
2020-11-29,1,0.14383425727496857,11001,Bogota
2020-11-30,1,0.13978874004346387,11001,Bogota
2020-12-01,1,0.13554884333523087,11001,Bogota
2020-12-02,1,0.1311180865596865,11001,Bogota
2020-12-03,1,0.12650108560835371,11001,Bogota
2020-12-04,1,0.12170349965791416,11001,Bogota
2020-12-05,1,0.11673196856460644,11001,Bogota
2020-12-06,1,0.11159404107476778,11001,Bogota
2020-12-07,1,0.10629809412429025,11001,Bogota
2020-12-08,1,0.10085324354650127,11001,Bogota
2020-12-09,1,0.09526924654699687,11001,Bogota
2020-12-10,1,0.08955639634284751,11001,Bogota
2020-12-11,1,0.08372540939606843,11001,Bogota
2020-12-12,1,0.07778730569789738,11001,Bogota
2020-12-13,1,0.07175328258370506,11001,Bogota
2020-12-14,1,0.06563458257433696,11001,Bogota
2020-12-15,1,0.05944235575062895,11001,Bogota
2020-12-16,1,0.05318751717140757,11001,Bogota
2020-12-17,1,0.046880599843973414,11001,Bogota
2020-12-18,1,0.04053160374575149,11001,Bogota
2020-12-19,1,0.03414984138038846,11001,Bogota
2020-12-20,1,0.02774378032796343,11001,Bogota
2020-12-21,1,0.021320883217649467,11001,Bogota
2020-12-22,1,0.01488744551404042,11001,Bogota
2020-12-23,1,0.008448431460754025,11001,Bogota
2020-12-24,1,0.0020073084725471535,11001,Bogota
2020-12-25,1,0.3065335159447692,11001,Bogota
2020-12-26,1,0.3171465794829055,11001,Bogota
2020-12-27,1,0.32774927818793775,11001,Bogota
2020-12-28,1,0.3383222555147387,11001,Bogota
2020-12-29,1,0.3488342119827963,11001,Bogota
2020-12-30,1,0.3592407905707222,11001,Bogota
2020-12-31,1,0.3694839275188383,11001,Bogota
2021-01-01,1,0.3794917345588191,11001,Bogota
2021-01-02,1,0.3891789693872947,11001,Bogota
2021-01-03,1,0.39844813346994334,11001,Bogota
2021-01-04,1,0.4071912118704972,11001,Bogota
