zipcode,Grade,start_date,end_date,InPerson,Total_students,Capacity
27025,SECONDARY,2021-03-12,2021-03-19,105.63687877380399,7531,0.014026939154667904
27025,SECONDARY,2021-03-19,2021-03-26,105.63687877380399,7531,0.014026939154667904
27025,SECONDARY,2021-03-26,2021-04-09,105.63687877380399,7531,0.014026939154667904
27025,SECONDARY,2021-04-09,2021-04-18,105.63687877380399,7531,0.014026939154667904
27025,SECONDARY,2021-04-18,2021-04-26,88.61371729369871,7531,0.011766527326211487
27025,SECONDARY,2021-05-10,2021-05-24,88.61371729369871,7531,0.011766527326211487
27025,UNIVERSITY,2021-02-15,2021-03-05,0.015502597810213297,1,0.015502597810213297
27025,UNIVERSITY,2021-03-05,2021-03-12,0.015502597810213297,1,0.015502597810213297
27025,UNIVERSITY,2021-03-12,2021-03-19,0.016564768868817716,1,0.016564768868817716
27025,UNIVERSITY,2021-03-19,2021-03-26,0.01723659397640052,1,0.01723659397640052
27025,UNIVERSITY,2021-03-26,2021-04-09,0.022023023628011215,1,0.022023023628011215
27025,UNIVERSITY,2021-04-09,2021-04-18,0.022215622138582733,1,0.022215622138582733
27025,UNIVERSITY,2021-04-18,2021-04-26,0.021870630867121293,1,0.021870630867121293
27025,UNIVERSITY,2021-05-10,2021-05-24,0.021870630867121293,1,0.021870630867121293
27050,SECONDARY,2021-02-15,2021-03-05,2.7136708468803223,3022,0.0008979718222635084
27050,SECONDARY,2021-03-05,2021-03-12,2.7136708468803223,3022,0.0008979718222635084
27050,SECONDARY,2021-03-12,2021-03-19,2.7136708468803223,3022,0.0008979718222635084
27050,SECONDARY,2021-03-19,2021-03-26,6.737389688806317,3022,0.002229447282861124
27050,SECONDARY,2021-03-26,2021-04-09,6.737389688806317,3022,0.002229447282861124
27050,SECONDARY,2021-04-09,2021-04-18,6.737389688806317,3022,0.002229447282861124
27050,SECONDARY,2021-04-18,2021-04-26,28.072457036692988,3022,0.009289363678588018
27050,SECONDARY,2021-05-10,2021-05-24,28.072457036692988,3022,0.009289363678588018
27073,SECONDARY,2021-02-15,2021-03-05,4.803344170924292,1251,0.0038396036538163804
27073,SECONDARY,2021-03-05,2021-03-12,4.803344170924292,1251,0.0038396036538163804
27073,SECONDARY,2021-03-12,2021-03-19,8.831955411054343,1251,0.007059916395726893
27073,SECONDARY,2021-03-19,2021-03-26,8.831955411054343,1251,0.007059916395726893
27073,SECONDARY,2021-03-26,2021-04-09,3.602508128193219,1251,0.0028797027403622854
27073,SECONDARY,2021-04-09,2021-04-18,3.602508128193219,1251,0.0028797027403622854
27073,SECONDARY,2021-04-18,2021-04-26,3.602508128193219,1251,0.0028797027403622854
27073,SECONDARY,2021-05-10,2021-05-24,3.602508128193219,1251,0.0028797027403622854
27075,SECONDARY,2021-02-15,2021-03-05,37.499241368632916,4502,0.008329462765133923
27075,SECONDARY,2021-03-05,2021-03-12,37.499241368632916,4502,0.008329462765133923
27075,SECONDARY,2021-03-12,2021-03-19,5.9943025236104654,4502,0.0013314754605976155
27075,SECONDARY,2021-03-19,2021-03-26,5.9943025236104654,4502,0.0013314754605976155
27075,SECONDARY,2021-03-26,2021-04-09,5.9943025236104654,4502,0.0013314754605976155
27075,SECONDARY,2021-04-09,2021-04-18,5.9943025236104654,4502,0.0013314754605976155
27075,SECONDARY,2021-04-18,2021-04-26,34.43238891469268,4502,0.007648242762037468
27075,SECONDARY,2021-05-10,2021-05-24,34.43238891469268,4502,0.007648242762037468
27077,SECONDARY,2021-02-15,2021-03-05,2.156990246168138,5805,0.0003715745471435207
27077,SECONDARY,2021-03-05,2021-03-12,2.156990246168138,5805,0.0003715745471435207
27077,SECONDARY,2021-03-12,2021-03-19,2.156990246168138,5805,0.0003715745471435207
27077,SECONDARY,2021-03-19,2021-03-26,2.156990246168138,5805,0.0003715745471435207
27077,SECONDARY,2021-03-26,2021-04-09,2.156990246168138,5805,0.0003715745471435207
27077,SECONDARY,2021-04-09,2021-04-18,2.156990246168138,5805,0.0003715745471435207
27077,SECONDARY,2021-04-18,2021-04-26,2.156990246168138,5805,0.0003715745471435207
27077,SECONDARY,2021-05-10,2021-05-24,2.156990246168138,5805,0.0003715745471435207
27099,SECONDARY,2021-02-15,2021-03-05,12.269515404861435,2714,0.004520823656912835
27099,SECONDARY,2021-03-05,2021-03-12,12.269515404861435,2714,0.004520823656912835
27099,SECONDARY,2021-03-12,2021-03-19,12.269515404861435,2714,0.004520823656912835
27099,SECONDARY,2021-03-19,2021-03-26,12.269515404861435,2714,0.004520823656912835
27099,SECONDARY,2021-03-26,2021-04-09,12.269515404861435,2714,0.004520823656912835
27099,SECONDARY,2021-04-09,2021-04-18,12.269515404861435,2714,0.004520823656912835
27099,SECONDARY,2021-04-18,2021-04-26,12.269515404861435,2714,0.004520823656912835
27099,SECONDARY,2021-05-10,2021-05-24,12.269515404861435,2714,0.004520823656912835
27099,UNIVERSITY,2021-02-15,2021-03-05,0.015502597810213297,1,0.015502597810213297
27099,UNIVERSITY,2021-03-05,2021-03-12,0.015502597810213297,1,0.015502597810213297
27099,UNIVERSITY,2021-03-12,2021-03-19,0.016564768868817716,1,0.016564768868817716
27099,UNIVERSITY,2021-03-19,2021-03-26,0.01723659397640052,1,0.01723659397640052
27099,UNIVERSITY,2021-03-26,2021-04-09,0.022023023628011215,1,0.022023023628011215
27099,UNIVERSITY,2021-04-09,2021-04-18,0.022215622138582733,1,0.022215622138582733
27099,UNIVERSITY,2021-04-18,2021-04-26,0.021870630867121293,1,0.021870630867121293
27099,UNIVERSITY,2021-05-10,2021-05-24,0.021870630867121293,1,0.021870630867121293
27135,SECONDARY,2021-02-15,2021-03-05,10.428982814677196,2159,0.004830469112865769
27135,SECONDARY,2021-03-05,2021-03-12,10.428982814677196,2159,0.004830469112865769
27135,SECONDARY,2021-03-12,2021-03-19,18.651834649326524,2159,0.008639108221086857
27135,SECONDARY,2021-03-19,2021-03-26,18.651834649326524,2159,0.008639108221086857
27135,SECONDARY,2021-03-26,2021-04-09,18.651834649326524,2159,0.008639108221086857
27135,SECONDARY,2021-04-09,2021-04-18,18.651834649326524,2159,0.008639108221086857
27135,SECONDARY,2021-04-18,2021-04-26,18.651834649326524,2159,0.008639108221086857
27135,SECONDARY,2021-05-10,2021-05-24,18.651834649326524,2159,0.008639108221086857
27150,SECONDARY,2021-02-15,2021-03-05,147.0163492800743,10481,0.014026939154667904
27150,SECONDARY,2021-03-05,2021-03-12,147.0163492800743,10481,0.014026939154667904
27150,SECONDARY,2021-03-12,2021-03-19,147.0163492800743,10481,0.014026939154667904
27150,SECONDARY,2021-03-19,2021-03-26,147.0163492800743,10481,0.014026939154667904
27150,SECONDARY,2021-03-26,2021-04-09,147.0163492800743,10481,0.014026939154667904
27150,SECONDARY,2021-04-09,2021-04-18,147.0163492800743,10481,0.014026939154667904
27150,SECONDARY,2021-04-18,2021-04-26,123.3249729060226,10481,0.011766527326211487
27150,SECONDARY,2021-05-10,2021-05-24,123.3249729060226,10481,0.011766527326211487
27160,SECONDARY,2021-02-15,2021-03-05,18.526056665118443,2001,0.009258399132992725
27160,SECONDARY,2021-03-05,2021-03-12,18.526056665118443,2001,0.009258399132992725
27160,SECONDARY,2021-03-12,2021-03-19,18.526056665118443,2001,0.009258399132992725
27160,SECONDARY,2021-03-19,2021-03-26,18.526056665118443,2001,0.009258399132992725
27160,SECONDARY,2021-03-26,2021-04-09,18.526056665118443,2001,0.009258399132992725
27160,SECONDARY,2021-04-09,2021-04-18,31.103947979563404,2001,0.015544201888837284
27160,SECONDARY,2021-04-18,2021-04-26,31.103947979563404,2001,0.015544201888837284
27160,SECONDARY,2021-05-10,2021-05-24,31.103947979563404,2001,0.015544201888837284
27205,SECONDARY,2021-02-15,2021-03-05,7.06802910667286,3742,0.0018888372813128968
27205,SECONDARY,2021-03-05,2021-03-12,7.06802910667286,3742,0.0018888372813128968
27205,SECONDARY,2021-03-12,2021-03-19,7.06802910667286,3742,0.0018888372813128968
27205,SECONDARY,2021-03-19,2021-03-26,7.06802910667286,3742,0.0018888372813128968
27205,SECONDARY,2021-03-26,2021-04-09,7.06802910667286,3742,0.0018888372813128968
27205,SECONDARY,2021-04-09,2021-04-18,7.06802910667286,3742,0.0018888372813128968
27205,SECONDARY,2021-04-18,2021-04-26,12.861495587552254,3742,0.0034370645610775664
27205,SECONDARY,2021-05-10,2021-05-24,12.861495587552254,3742,0.0034370645610775664
27245,SECONDARY,2021-02-15,2021-03-05,10.74500696702276,4035,0.002662950921195232
27245,SECONDARY,2021-03-05,2021-03-12,10.74500696702276,4035,0.002662950921195232
27245,SECONDARY,2021-03-12,2021-03-19,10.74500696702276,4035,0.002662950921195232
27245,SECONDARY,2021-03-19,2021-03-26,13.118903855085927,4035,0.003251277287505806
27245,SECONDARY,2021-03-26,2021-04-09,36.98281467719462,4035,0.009165505496206844
27245,SECONDARY,2021-04-09,2021-04-18,36.98281467719462,4035,0.009165505496206844
27245,SECONDARY,2021-04-18,2021-04-26,18.11658151416628,4035,0.004489859111317542
27245,SECONDARY,2021-05-10,2021-05-24,18.11658151416628,4035,0.004489859111317542
27250,SECONDARY,2021-02-15,2021-03-05,2.2156990246168142,5963,0.00037157454714352076
27250,SECONDARY,2021-03-05,2021-03-12,2.2156990246168142,5963,0.00037157454714352076
27250,SECONDARY,2021-03-12,2021-03-19,2.2156990246168142,5963,0.00037157454714352076
27250,SECONDARY,2021-03-19,2021-03-26,2.2156990246168142,5963,0.00037157454714352076
27250,SECONDARY,2021-03-26,2021-04-09,2.2156990246168142,5963,0.00037157454714352076
27250,SECONDARY,2021-04-09,2021-04-18,2.2156990246168142,5963,0.00037157454714352076
27250,SECONDARY,2021-04-18,2021-04-26,2.2156990246168142,5963,0.00037157454714352076
27250,SECONDARY,2021-05-10,2021-05-24,2.2156990246168142,5963,0.00037157454714352076
27250,UNIVERSITY,2021-02-15,2021-03-05,0.3255545540144793,21,0.015502597810213301
27250,UNIVERSITY,2021-03-05,2021-03-12,0.3255545540144793,21,0.015502597810213301
27250,UNIVERSITY,2021-03-12,2021-03-19,0.3478601462451721,21,0.01656476886881772
27250,UNIVERSITY,2021-03-19,2021-03-26,0.36196847350441097,21,0.01723659397640052
