Date,ICU_admissions,ICU_cancelled,ICU_deaths,ICU_admissions_demand,Prop,ICU_admissions_bog
2020-08-30,69,5,1,74,0,69
2020-08-31,69,0,1,69,0,69
2020-09-01,61,2,2,63,0,61
2020-09-02,85,5,0,90,0,85
2020-09-03,89,6,1,95,0,89
2020-09-04,59,4,1,63,0,59
2020-09-05,45,3,0,48,0,45
2020-09-06,55,1,0,56,0,55
2020-09-07,60,2,2,62,0,60
2020-09-08,43,3,0,46,0,43
2020-09-09,68,3,0,71,0,68
2020-09-10,45,5,0,50,0,45
2020-09-11,62,6,2,68,0,62
2020-09-12,51,5,0,56,0,51
2020-09-13,51,2,1,53,0,51
2020-09-14,51,3,3,54,0,51
2020-09-15,60,4,0,64,0,60
2020-09-16,42,5,1,47,0,42
2020-09-17,38,3,1,41,0,38
2020-09-18,37,1,0,38,0,37
2020-09-19,41,3,0,44,0,41
2020-09-20,35,5,0,40,0,35
2020-09-21,47,3,1,50,0,47
2020-09-22,42,4,0,46,0,42
2020-09-23,38,6,0,44,0,38
2020-09-24,50,3,0,53,0,50
2020-09-25,48,2,1,50,0,48
2020-09-26,37,1,2,38,0,37
2020-09-27,30,0,1,30,0,30
2020-09-28,45,2,0,47,0,45
2020-09-29,47,2,1,49,0,47
2020-09-30,42,3,1,45,0,42
2020-10-01,36,4,0,40,0,36
2020-10-02,41,7,1,48,0,41
2020-10-03,46,3,1,49,0,46
2020-10-04,27,1,0,28,0,27
2020-10-05,51,4,1,55,0,51
2020-10-06,45,4,0,49,0,45
2020-10-07,49,4,0,53,0,49
2020-10-08,48,5,2,53,0,48
2020-10-09,47,8,0,55,0,47
2020-10-10,38,5,0,43,0,38
2020-10-11,32,4,0,36,0,32
2020-10-12,31,3,0,34,0,31
2020-10-13,43,4,0,47,0,43
2020-10-14,40,5,2,45,0,40
2020-10-15,60,6,0,66,0,60
2020-10-16,61,5,0,66,0,61
2020-10-17,47,3,1,50,0,47
2020-10-18,45,0,1,45,0,45
2020-10-19,59,6,2,65,0,59
2020-10-20,40,4,1,44,0,40
2020-10-21,58,3,1,61,0,58
2020-10-22,68,7,1,75,0,68
2020-10-23,50,2,0,52,0,50
2020-10-24,45,1,0,46,0,45
2020-10-25,41,3,2,44,0,41
2020-10-26,63,6,0,69,0,63
2020-10-27,46,1,1,47,0,46
2020-10-28,35,4,2,39,0,35
2020-10-29,66,2,2,68,0,66
2020-10-30,44,3,0,47,0,44
2020-10-31,44,2,0,46,0,44
2020-11-01,29,5,1,34,0,29
2020-11-02,45,5,0,50,0,45
2020-11-03,44,9,2,53,0,44
2020-11-04,44,8,0,52,0,44
2020-11-05,53,7,1,60,0,53
2020-11-06,51,13,0,64,0,51
2020-11-07,41,8,2,49,0,41
2020-11-08,47,1,1,48,0,47
2020-11-09,35,7,1,42,0,35
2020-11-10,39,1,1,40,0,39
2020-11-11,56,6,1,62,0,56
2020-11-12,65,5,3,70,0,65
2020-11-13,45,6,2,51,0,45
2020-11-14,39,1,1,40,0,39
2020-11-15,40,6,2,46,0,40
2020-11-16,41,4,0,45,0,41
2020-11-17,49,7,0,56,0,49
2020-11-18,40,4,0,44,0,40
2020-11-19,48,4,1,52,0,48
2020-11-20,56,7,1,63,0,56
2020-11-21,45,5,1,50,0,45
2020-11-22,48,5,0,53,0,48
2020-11-23,62,11,1,73,0,62
2020-11-24,47,5,0,52,0,47
2020-11-25,44,8,0,52,0,44
2020-11-26,49,3,1,52,0,49
2020-11-27,56,2,0,58,0,56
2020-11-28,50,5,1,55,0,50
2020-11-29,37,5,0,42,0,37
2020-11-30,52,4,0,56,0,52
2020-12-01,63,5,1,68,0,63
2020-12-02,41,4,0,45,0,41
2020-12-03,46,7,1,53,0,46
2020-12-04,33,6,0,39,0,33
2020-12-05,55,4,0,59,0,55
2020-12-06,53,6,1,59,0,53
2020-12-07,63,7,2,70,0,63
2020-12-08,62,6,0,68,0,62
2020-12-09,67,6,1,73,0,67
2020-12-10,68,9,1,77,0,68
2020-12-11,62,5,0,67,0,62
2020-12-12,70,6,2,76,0,70
2020-12-13,63,11,1,74,0,63
2020-12-14,79,9,2,88,0,79
2020-12-15,64,1,0,65,0,64
2020-12-16,82,9,3,91,0,82
2020-12-17,69,9,0,78,0,69
2020-12-18,88,6,3,94,0,88
2020-12-19,68,14,3,82,0,68
2020-12-20,89,13,6,102,0,89
2020-12-21,85,13,5,98,0,85
2020-12-22,97,25,6,122,0,97
2020-12-23,97,15,2,112,0,97
2020-12-24,105,13,5,118,0,105
2020-12-25,89,16,4,105,0,89
2020-12-26,106,17,7,123,0,106
2020-12-27,130,22,7,152,0,130
2020-12-28,129,24,9,153,0,129
2020-12-29,101,44,6,145,0,101
2020-12-30,132,39,3,171,0,132
2020-12-31,106,20,4,126,0,106
2021-01-01,128,20,8,148,0,128
2021-01-02,106,36,7,142,0,106
2021-01-03,131,38,12,169,0,131
2021-01-04,148,41,10,189,0,148
2021-01-05,123,46,11,169,0,123
2021-01-06,134,30,8,164,0,134
2021-01-07,128,48,10,176,0,128
2021-01-08,149,33,16,182,0,149
2021-01-09,157,50,12,207,0,157
2021-01-10,109,42,10,151,0,109
2021-01-11,139,62,10,201,0,139
2021-01-12,123,41,12,164,0,123
2021-01-13,149,48,18,197,0,149
2021-01-14,154,48,10,202,0,154
2021-01-15,142,44,10,186,0,142
2021-01-16,118,51,9,169,0,118
2021-01-17,127,31,9,158,0,127
2021-01-18,134,40,11,174,0,134
2021-01-19,134,40,8,174,0,134
2021-01-20,109,23,3,132,0,109
2021-01-21,114,38,7,152,0,114
2021-01-22,125,38,9,163,0,125
2021-01-23,115,28,3,143,0,115
2021-01-24,98,24,2,122,0,98
2021-01-25,93,11,1,104,0,93
2021-01-26,112,13,5,125,0,112
2021-01-27,99,16,4,115,0,99
2021-01-28,72,10,1,82,0,72
2021-01-29,79,10,2,89,0,79
2021-01-30,66,5,0,71,0,66
2021-01-31,73,13,1,86,0,73
2021-02-01,75,7,2,82,0,75
2021-02-02,84,8,3,92,0,84
2021-02-03,66,15,2,81,0,66
2021-02-04,68,19,1,87,0,68
2021-02-05,51,10,3,61,0,51
2021-02-06,54,6,1,60,0,54
2021-02-07,40,7,0,47,0,40
2021-02-08,54,4,3,58,0,54
2021-02-09,52,7,3,59,0,52
2021-02-10,48,5,2,53,0,48
2021-02-11,47,9,0,56,0,47
2021-02-12,39,8,0,47,0,39
2021-02-13,36,7,0,43,0,36
2021-02-14,46,3,1,49,0,46
2021-02-15,40,3,1,43,0,40
2021-02-16,50,6,1,56,0,50
2021-02-17,49,18,0,67,0,49
2021-02-18,33,6,0,39,0,33
2021-02-19,37,7,0,44,0,37
2021-02-20,49,4,0,53,0,49
2021-02-21,29,2,1,31,0,29
2021-02-22,34,4,0,38,0,34
2021-02-23,39,12,1,51,0,39
2021-02-24,34,1,0,35,0,34
2021-02-25,30,2,1,32,0,30
2021-02-26,38,6,0,44,0,38
2021-02-27,37,3,0,40,0,37
2021-02-28,27,3,1,30,0,27
2021-03-01,27,7,0,34,0,27
2021-03-02,37,2,0,39,0,37
2021-03-03,37,6,2,43,0,37
2021-03-04,41,7,2,48,0,41
2021-03-05,38,2,0,40,0,38
2021-03-06,39,2,0,41,0,39
2021-03-07,37,7,1,44,0,37
2021-03-08,31,4,0,35,0,31
2021-03-09,40,4,0,44,0,40
2021-03-10,33,5,0,38,0,33
2021-03-11,32,3,0,35,0,32
2021-03-12,34,4,0,38,0,34
2021-03-13,36,4,0,40,0,36
2021-03-14,29,1,0,30,0,29
2021-03-15,39,4,0,43,0,39
2021-03-16,26,5,0,31,0,26
2021-03-17,33,5,0,38,0,33
2021-03-18,31,3,0,34,0,31
2021-03-19,30,7,1,37,0,30
2021-03-20,29,2,0,31,0,29
2021-03-21,36,4,0,40,0,36
2021-03-22,34,2,0,36,0,34
2021-03-23,43,7,0,50,0,43
2021-03-24,45,2,1,47,0,45
2021-03-25,51,6,1,57,0,51
2021-03-26,41,0,0,41,0,41
2021-03-27,36,5,1,41,0,36
2021-03-28,41,6,0,47,0,41
2021-03-29,43,9,0,52,0,43
2021-03-30,56,14,1,70,0,56
2021-03-31,55,12,1,67,0,55
2021-04-01,60,26,3,86,0.01,59.4
2021-04-02,58,21,2,79,0.02,56.839999999999996
2021-04-03,73,23,1,96,0.02,71.53999999999999
2021-04-04,74,36,3,110,0.03,71.78
2021-04-05,78,31,5,109,0.05,74.1
2021-04-06,90,40,5,130,0.06,84.6
2021-04-07,70,25,4,95,0.12,61.6
2021-04-08,88,50,6,138,0.1,79.2
2021-04-09,109,62,4,171,0.1,98.10000000000001
2021-04-10,120,59,7,179,0.11,106.8
2021-04-11,118,58,4,176,0.13,102.66
2021-04-12,125,118,7,243,0.12,110
2021-04-13,116,121,5,237,0,116
2021-04-14,112,34,3,146,0,112
2021-04-15,153,23,3,176,0,153
2021-04-16,153,23,0,176,0,153
2021-04-17,108,15,3,123,0,108
2021-04-18,145,30,3,175,0,145
2021-04-19,128,40,4,168,0,128
2021-04-20,159,29,4,188,0,159
2021-04-21,161,36,4,197,0,161
2021-04-22,199,26,5,225,0,199
2021-04-23,141,28,4,169,0,141
2021-04-24,171,41,5,212,0,171
2021-04-25,147,39,7,186,0,147
2021-04-26,168,33,13,201,0,168
2021-04-27,185,38,4,223,0,185
2021-04-28,167,43,8,210,0,167
2021-04-29,161,41,7,202,0,161
2021-04-30,161,54,5,215,0,161
2021-05-01,142,30,10,172,0,142
2021-05-02,142,50,8,192,0,142
2021-05-03,158,48,15,206,0,158
2021-05-04,166,45,11,211,0,166
2021-05-05,177,41,9,218,0,177
2021-05-06,156,40,12,196,0,156
2021-05-07,159,34,7,193,0,159
2021-05-08,162,59,8,221,0,162
2021-05-09,134,46,7,180,0,134
2021-05-10,148,50,12,198,0,148
2021-05-11,178,43,13,221,0,178
2021-05-12,161,45,7,206,0,161
2021-05-13,177,41,8,218,0,177
2021-05-14,151,52,14,203,0,151
2021-05-15,152,43,10,195,0,152
2021-05-16,148,58,9,206,0,148
2021-05-17,190,41,14,231,0,190
2021-05-18,150,49,19,199,0,150
2021-05-19,191,51,11,242,0,191
2021-05-20,177,51,10,228,0,177
2021-05-21,217,48,16,265,0,217
2021-05-22,147,43,8,190,0,147
2021-05-23,183,48,14,231,0,183
2021-05-24,184,53,16,237,0,184
2021-05-25,185,61,13,246,0,185
2021-05-26,206,57,22,263,0,206
2021-05-27,191,60,14,251,0,191
2021-05-28,219,73,17,292,0,219
2021-05-29,174,69,18,243,0,174
2021-05-30,213,60,14,273,0,213
2021-05-31,247,83,31,330,0,247
2021-06-01,228,87,26,315,0,228
2021-06-02,183,77,22,260,0,183
2021-06-03,225,66,22,291,0,225
2021-06-04,220,73,23,293,0,220
