MunCode,Localidad,Date,Cases,Deaths
11001,4,2020-06-05,36,1
11001,4,2020-06-06,38,0
11001,4,2020-06-07,16,0
11001,4,2020-06-08,51,0
11001,4,2020-06-09,32,1
11001,4,2020-06-10,50,1
11001,4,2020-06-11,28,0
11001,4,2020-06-12,53,0
11001,4,2020-06-13,51,0
11001,4,2020-06-14,42,0
11001,4,2020-06-15,48,0
11001,4,2020-06-16,110,1
11001,4,2020-06-17,53,0
11001,4,2020-06-18,52,1
11001,4,2020-06-19,65,0
11001,4,2020-06-20,79,0
11001,4,2020-06-21,68,4
11001,4,2020-06-22,68,1
11001,4,2020-06-23,85,1
11001,4,2020-06-24,118,2
11001,4,2020-06-25,99,1
11001,4,2020-06-26,103,3
11001,4,2020-06-27,98,2
11001,4,2020-06-28,87,1
11001,4,2020-06-29,107,1
11001,4,2020-06-30,170,3
11001,4,2020-07-01,158,4
11001,4,2020-07-02,113,4
11001,4,2020-07-03,153,2
11001,4,2020-07-04,188,2
11001,4,2020-07-05,101,1
11001,4,2020-07-06,159,4
11001,4,2020-07-07,132,3
11001,4,2020-07-08,142,3
11001,4,2020-07-09,144,2
11001,4,2020-07-10,213,5
11001,4,2020-07-11,123,3
11001,4,2020-07-12,129,5
11001,4,2020-07-13,197,1
11001,4,2020-07-14,169,7
11001,4,2020-07-15,129,5
11001,4,2020-07-16,142,3
11001,4,2020-07-17,116,4
11001,4,2020-07-18,160,5
11001,4,2020-07-19,133,3
11001,4,2020-07-20,129,2
11001,4,2020-07-21,153,8
11001,4,2020-07-22,201,3
11001,4,2020-07-23,180,4
11001,4,2020-07-24,187,11
11001,4,2020-07-25,160,5
11001,4,2020-07-26,115,4
11001,4,2020-07-27,226,5
11001,4,2020-07-28,147,3
11001,4,2020-07-29,160,9
11001,4,2020-07-30,159,9
11001,4,2020-07-31,148,5
11001,4,2020-08-01,159,2
11001,4,2020-08-02,92,6
11001,4,2020-08-03,156,4
11001,4,2020-08-04,156,6
11001,4,2020-08-05,135,4
11001,4,2020-08-06,114,6
11001,4,2020-08-07,110,6
11001,4,2020-08-08,138,8
11001,4,2020-08-09,110,6
11001,4,2020-08-10,155,3
11001,4,2020-08-11,127,6
11001,4,2020-08-12,120,3
11001,4,2020-08-13,128,4
11001,4,2020-08-14,136,6
11001,4,2020-08-15,146,5
11001,4,2020-08-16,100,5
11001,4,2020-08-17,78,2
11001,4,2020-08-18,117,5
11001,4,2020-08-19,99,3
11001,4,2020-08-20,126,8
11001,4,2020-08-21,102,10
11001,4,2020-08-22,107,5
11001,4,2020-08-23,81,4
11001,4,2020-08-24,114,5
11001,4,2020-08-25,113,7
11001,4,2020-08-26,141,2
11001,4,2020-08-27,106,5
11001,4,2020-08-28,119,5
11001,4,2020-08-29,105,1
11001,4,2020-08-30,89,2
11001,4,2020-08-31,125,5
11001,4,2020-09-01,114,0
11001,4,2020-09-02,76,3
11001,4,2020-09-03,75,2
11001,4,2020-09-04,125,5
11001,4,2020-09-05,63,1
11001,4,2020-09-06,29,0
11001,4,2020-09-07,60,2
11001,4,2020-09-08,78,1
11001,4,2020-09-09,52,2
11001,4,2020-09-10,43,2
11001,4,2020-09-11,29,4
11001,4,2020-09-12,24,3
11001,4,2020-09-13,29,0
11001,4,2020-09-14,27,1
11001,4,2020-09-15,2,2
11001,5,2020-03-10,1,0
11001,5,2020-03-14,2,0
11001,5,2020-03-17,2,0
11001,5,2020-03-18,1,0
11001,5,2020-03-19,2,0
11001,5,2020-03-23,2,0
11001,5,2020-03-25,1,0
11001,5,2020-03-29,1,0
11001,5,2020-03-30,1,0
11001,5,2020-04-01,2,0
11001,5,2020-04-02,3,0
11001,5,2020-04-03,1,0
11001,5,2020-04-04,4,0
11001,5,2020-04-05,1,0
11001,5,2020-04-06,1,0
11001,5,2020-04-07,4,0
11001,5,2020-04-08,4,0
11001,5,2020-04-09,2,0
11001,5,2020-04-10,3,0
11001,5,2020-04-11,4,0
11001,5,2020-04-12,3,0
11001,5,2020-04-13,1,0
11001,5,2020-04-14,2,0
11001,5,2020-04-15,1,0
11001,5,2020-04-16,3,0
11001,5,2020-04-17,5,0
11001,5,2020-04-18,6,0
11001,5,2020-04-19,8,0
11001,5,2020-04-20,4,0
11001,5,2020-04-21,2,0
11001,5,2020-04-22,6,0
11001,5,2020-04-23,2,0
11001,5,2020-04-24,8,0
11001,5,2020-04-25,8,0
11001,5,2020-04-26,2,1
11001,5,2020-04-27,5,0
11001,5,2020-04-28,2,0
11001,5,2020-04-29,5,0
