Date,state_name,State,FacemaskTrends
2020-11-13,Bogota,11001,0.5604569021742157
2020-11-14,Bogota,11001,0.5592543612855649
2020-11-15,Bogota,11001,0.5580209641752462
2020-11-16,Bogota,11001,0.5567583231895457
2020-11-17,Bogota,11001,0.5554681154605656
2020-11-18,Bogota,11001,0.5541520796622583
2020-11-19,Bogota,11001,0.5528120126840644
2020-11-20,Bogota,11001,0.5514497662276183
2020-11-21,Bogota,11001,0.5500672433312281
2020-11-22,Bogota,11001,0.5486663948276129
2020-11-23,Bogota,11001,0.5472492157403721
2020-11-24,Bogota,11001,0.5458177416242954
2020-11-25,Bogota,11001,0.5443740448550677
2020-11-26,Bogota,11001,0.542920230874105
2020-11-27,Bogota,11001,0.5414584343937416
2020-11-28,Bogota,11001,0.5399908155686176
2020-11-29,Bogota,11001,0.5385195561385739
2020-11-30,Bogota,11001,0.537046855549114
2020-12-01,Bogota,11001,0.5355749270547855
2020-12-02,Bogota,11001,0.5341059938111903
2020-12-03,Bogota,11001,0.5326422849614254
2020-12-04,Bogota,11001,0.5311860317222936
2020-12-05,Bogota,11001,0.5297394634762831
2020-12-06,Bogota,11001,0.528304803874799
2020-12-07,Bogota,11001,0.526884266958001
2020-12-08,Bogota,11001,0.5254800532970639
2020-12-09,Bogota,11001,0.5240943461642439
2020-12-10,Bogota,11001,0.5227293077362793
2020-12-11,Bogota,11001,0.5213870753361823
2020-12-12,Bogota,11001,0.5200697577192542
2020-12-13,Bogota,11001,0.5187794314080045
2020-12-14,Bogota,11001,0.5175181370816752
2020-12-15,Bogota,11001,0.5162878760246994
2020-12-16,Bogota,11001,0.5150906066400306
2020-12-17,Bogota,11001,0.5139282410312904
2020-12-18,Bogota,11001,0.5128026416589679
2020-12-19,Bogota,11001,0.5117156180754153
2020-12-20,Bogota,11001,0.5106689237425814
2020-12-21,Bogota,11001,0.5096642529377493
2020-12-22,Bogota,11001,0.5087032377506167
2020-12-23,Bogota,11001,0.5077874451765519
2020-12-24,Bogota,11001,0.5069183743096745
2020-12-25,Bogota,11001,0.5060974536396055
2020-12-26,Bogota,11001,0.5053260384558134
2020-12-27,Bogota,11001,0.5046054083626453
2020-12-28,Bogota,11001,0.5039367649088644
2020-12-29,Bogota,11001,0.5033212293346595
2020-12-30,Bogota,11001,0.5027598404391144
2020-12-31,Bogota,11001,0.5022535525711925
2021-01-01,Bogota,11001,0.5018032337466942
2021-01-02,Bogota,11001,0.5014096638939074
2021-01-03,Bogota,11001,0.5010735332299897
2021-01-04,Bogota,11001,0.5007954407706002
2021-01-05,Bogota,11001,0.5005758929743228
2021-01-06,Bogota,11001,0.5004153025238794
2021-01-07,Bogota,11001,0.5003139872457185
2021-01-08,Bogota,11001,0.5002721691690616
2021-01-09,Bogota,11001,0.5002899737259807
2021-01-10,Bogota,11001,0.5003674290932065
2021-01-11,Bogota,11001,0.5005044656764207
2021-01-12,Bogota,11001,0.5007009157379253
2021-01-13,Bogota,11001,0.500956513167554
2021-01-14,Bogota,11001,0.5012708933976201
2021-01-15,Bogota,11001,0.501643593461301
2021-01-16,Bogota,11001,0.5020740521946904
2021-01-17,Bogota,11001,0.5025616105817997
2021-01-18,Bogota,11001,0.5031055122420957
2021-01-19,Bogota,11001,0.5037049040596687
2021-01-20,Bogota,11001,0.5043588369530689
2021-01-21,Bogota,11001,0.505066266784545
2021-01-22,Bogota,11001,0.5058260554074183
2021-01-23,Bogota,11001,0.5066369718500002
2021-01-24,Bogota,11001,0.5074976936342156
2021-01-25,Bogota,11001,0.5084068082269048
2021-01-26,Bogota,11001,0.5093628146221226
2021-01-27,Bogota,11001,0.5103641250515653
2021-01-28,Bogota,11001,0.511409066821015
2021-01-29,Bogota,11001,0.5124958842700533
2021-01-30,Bogota,11001,0.5136227408523898
2021-01-31,Bogota,11001,0.5147877213333504
2021-02-01,Bogota,11001,0.5159888341021688
2021-02-02,Bogota,11001,0.5172240135951447
2021-02-03,Bogota,11001,0.5184911228264947
2021-02-04,Bogota,11001,0.5197879560233224
2021-02-05,Bogota,11001,0.5211122413610995
2021-02-06,Bogota,11001,0.5224616437955519
2021-02-07,Bogota,11001,0.5238337679872079
2021-02-08,Bogota,11001,0.5252261613144474
2021-02-09,Bogota,11001,0.5266363169708459
2021-02-10,Bogota,11001,0.5280616771424044
2021-02-11,Bogota,11001,0.5294996362604557
2021-02-12,Bogota,11001,0.5309475443254357
2021-02-13,Bogota,11001,0.5324027102973043
2021-02-14,Bogota,11001,0.5338624055473195
2021-02-15,Bogota,11001,0.5353238673671582
2021-02-16,Bogota,11001,0.5367843025297487
2021-02-17,Bogota,11001,0.5382408908974752
2021-02-18,Bogota,11001,0.5396907890725404
2021-02-19,Bogota,11001,0.5411311340843757
2021-02-20,Bogota,11001,0.5425590471092828
2021-02-21,Bogota,11001,0.5439716372169165
2021-02-22,Bogota,11001,0.5453660051386265
2021-02-23,Bogota,11001,0.5467392470525553
2021-02-24,Bogota,11001,0.5480884583799379
2021-02-25,Bogota,11001,0.549410737587972
2021-02-26,Bogota,11001,0.5507031899935775
2021-02-27,Bogota,11001,0.5519629315629794
2021-02-28,Bogota,11001,0.553187092702145
2021-03-01,Bogota,11001,0.5543728220325596
2021-03-02,Bogota,11001,0.5555172901474965
2021-03-03,Bogota,11001,0.5566176933434008
2021-03-04,Bogota,11001,0.5576712573215872
2021-03-05,Bogota,11001,0.5586752408549569
2021-03-06,Bogota,11001,0.5596269394150089
2021-03-07,Bogota,11001,0.5605236887539021
2021-03-08,Bogota,11001,0.5613628684372187
2021-03-09,Bogota,11001,0.5621419053219304
2021-03-10,Bogota,11001,0.5628582769757028
2021-03-11,Bogota,11001,0.5635095150320265
2021-03-12,Bogota,11001,0.5640932084776026
2021-03-13,Bogota,11001,0.564607006866538
2021-03-14,Bogota,11001,0.5650486234579161
2021-03-15,Bogota,11001,0.5654158382719339
2021-03-16,Bogota,11001,0.565706501060725
2021-03-17,Bogota,11001,0.5659185341898854
2021-03-18,Bogota,11001,0.5660499354267987
2021-03-19,Bogota,11001,0.5660987806318862
2021-03-20,Bogota,11001,0.5660632263494999
2021-03-21,Bogota,11001,0.5659415122947004
2021-03-22,Bogota,11001,0.5657319637327131
2021-03-23,Bogota,11001,0.5654329937478626
2021-03-24,Bogota,11001,0.5650431053990826
2021-03-25,Bogota,11001,0.5645608937589357
2021-03-26,Bogota,11001,0.5639850478334939
