"Date","Imports","Replicate"
2020-02-17,18,8
2020-02-18,8,8
2020-02-19,4,8
2020-02-20,2,8
2020-02-21,6,8
2020-02-22,11,8
2020-02-23,3,8
2020-02-24,5,8
2020-02-25,5,8
2020-02-26,5,8
2020-02-27,7,8
2020-02-28,5,8
2020-02-29,6,8
2020-03-01,10,8
2020-03-02,12,8
2020-03-03,20,8
2020-03-04,13,8
2020-03-05,20,8
2020-03-06,18,8
2020-03-07,23,8
2020-03-08,27,8
2020-03-09,17,8
2020-03-10,35,8
2020-03-11,37,8
2020-03-12,23,8
2020-03-13,109,8
2020-03-14,69,8
2020-03-15,64,8
2020-03-16,114,8
2020-03-17,111,8
2020-03-18,112,8
2020-03-19,121,8
2020-03-20,95,8
2020-03-21,68,8
2020-03-22,33,8
2020-01-22,2,9
2020-01-23,1,9
2020-01-24,2,9
2020-01-25,2,9
2020-01-26,5,9
2020-01-27,3,9
2020-01-28,19,9
2020-01-29,2,9
2020-01-30,11,9
2020-01-31,9,9
2020-02-01,10,9
2020-02-02,19,9
2020-02-03,13,9
2020-02-04,22,9
2020-02-05,10,9
2020-02-06,9,9
2020-02-07,21,9
2020-02-08,12,9
2020-02-09,12,9
2020-02-10,7,9
2020-02-11,13,9
2020-02-12,4,9
2020-02-13,62,9
2020-02-14,28,9
2020-02-15,9,9
2020-02-16,7,9
2020-02-17,13,9
2020-02-18,4,9
2020-02-19,2,9
2020-02-20,4,9
2020-02-21,1,9
2020-02-22,9,9
2020-02-23,3,9
2020-02-24,3,9
2020-02-25,4,9
2020-02-26,1,9
2020-02-27,7,9
2020-02-28,4,9
2020-02-29,7,9
2020-03-01,10,9
2020-03-02,11,9
2020-03-03,15,9
2020-03-04,9,9
2020-03-05,14,9
2020-03-06,15,9
2020-03-07,23,9
2020-03-08,19,9
2020-03-09,18,9
2020-03-10,23,9
2020-03-11,20,9
2020-03-12,7,9
2020-03-13,74,9
2020-03-14,53,9
2020-03-15,46,9
2020-03-16,81,9
2020-03-17,58,9
2020-03-18,53,9
2020-03-19,88,9
2020-03-20,70,9
2020-03-21,57,9
2020-03-22,20,9
2020-01-22,1,10
2020-01-24,2,10
2020-01-25,4,10
2020-01-26,3,10
2020-01-27,3,10
2020-01-28,8,10
2020-01-30,6,10
2020-01-31,7,10
2020-02-01,5,10
2020-02-02,25,10
2020-02-03,9,10
2020-02-04,19,10
2020-02-05,13,10
2020-02-06,11,10
2020-02-07,12,10
2020-02-08,6,10
2020-02-09,13,10
2020-02-10,11,10
2020-02-11,11,10
2020-02-12,3,10
2020-02-13,60,10
2020-02-14,25,10
2020-02-15,10,10
2020-02-16,9,10
2020-02-17,11,10
2020-02-18,8,10
2020-02-19,1,10
2020-02-20,3,10
2020-02-22,5,10
2020-02-24,4,10
2020-02-25,6,10
2020-02-26,5,10
2020-02-27,5,10
2020-02-28,8,10
2020-02-29,5,10
2020-03-01,9,10
2020-03-02,7,10
2020-03-03,9,10
2020-03-04,6,10
2020-03-05,10,10
2020-03-06,17,10
2020-03-07,18,10
2020-03-08,19,10
2020-03-09,13,10
2020-03-10,15,10
2020-03-11,20,10
2020-03-12,11,10
2020-03-13,80,10
2020-03-14,48,10
